credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,has.delinq.2yrs,has.pub.rec,log.revol.bal,has.revol.bal
TRUE,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,FALSE,FALSE,FALSE,10.270038567145066,TRUE
TRUE,credit_card,0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,FALSE,FALSE,FALSE,10.422995376684952,TRUE
TRUE,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,FALSE,FALSE,FALSE,8.163940954755008,TRUE
TRUE,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,FALSE,FALSE,FALSE,10.424303110331467,TRUE
TRUE,credit_card,0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,NA,0,FALSE,TRUE,FALSE,8.464003362902119,TRUE
TRUE,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,NA,51,0,0,0,FALSE,FALSE,FALSE,10.83580910148281,TRUE
TRUE,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,NA,TRUE,FALSE,TRUE,8.253227645581772,TRUE
TRUE,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,TRUE,FALSE,FALSE,10.094975304446326,TRUE
TRUE,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989,NA,51.1,1,0,0,FALSE,FALSE,FALSE,11.15496397950603,TRUE
TRUE,debt_consolidation,0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0,FALSE,FALSE,FALSE,8.636042325254618,TRUE
TRUE,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,NA,FALSE,FALSE,TRUE,9.535823881654714,TRUE
TRUE,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,NA,0,FALSE,TRUE,FALSE,8.541495483939203,TRUE
TRUE,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,FALSE,FALSE,FALSE,8.710949125835855,TRUE
TRUE,small_business,0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,NA,0,FALSE,TRUE,FALSE,8.013674142832684,TRUE
TRUE,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,FALSE,FALSE,FALSE,8.745602852402946,TRUE
TRUE,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,FALSE,FALSE,FALSE,8.593227877692234,TRUE
TRUE,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,FALSE,FALSE,FALSE,7.701652362642226,TRUE
TRUE,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,FALSE,FALSE,FALSE,8.934191535338075,TRUE
TRUE,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,FALSE,FALSE,FALSE,9.025455532779063,TRUE
TRUE,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,FALSE,FALSE,FALSE,6.3835066348840055,TRUE
TRUE,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,FALSE,FALSE,FALSE,10.302196556147285,TRUE
TRUE,all_other,0.0863,474.42,10.81977828,2.59,797,NA,5656,27.6,0,0,0,FALSE,FALSE,FALSE,8.640648995343156,TRUE
TRUE,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,FALSE,FALSE,FALSE,9.960009652860453,TRUE
TRUE,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,FALSE,FALSE,FALSE,9.736960601640813,TRUE
TRUE,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,NA,FALSE,FALSE,TRUE,8.481151420068972,TRUE
TRUE,all_other,0.0901,159.03,NA,10,712,1553.958333,14354,36.6,0,NA,0,FALSE,TRUE,FALSE,9.571853592555165,TRUE
TRUE,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,FALSE,FALSE,FALSE,7.3632795869630385,TRUE
TRUE,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,NA,0,FALSE,TRUE,FALSE,8.337109129562474,TRUE
TRUE,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,FALSE,FALSE,FALSE,8.059908334578276,TRUE
TRUE,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,NA,0.7,0,0,0,FALSE,FALSE,FALSE,11.357534015706838,TRUE
TRUE,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,FALSE,FALSE,FALSE,9.179778066393542,TRUE
TRUE,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,NA,0,FALSE,TRUE,FALSE,9.087946723762116,TRUE
TRUE,home_improvement,0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,FALSE,FALSE,FALSE,8.708474489581665,TRUE
TRUE,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,FALSE,FALSE,FALSE,8.892199092039693,TRUE
TRUE,credit_card,0.087,158.3,11.22524339,15.55,757,4770,NA,23,0,0,0,FALSE,FALSE,FALSE,11.097925039878724,TRUE
TRUE,all_other,0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,FALSE,FALSE,FALSE,8.205491613120236,TRUE
TRUE,credit_card,0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,FALSE,FALSE,FALSE,NA,TRUE
TRUE,credit_card,0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,NA,FALSE,FALSE,TRUE,10.210457413895194,TRUE
TRUE,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,FALSE,FALSE,FALSE,10.251676592824563,TRUE
TRUE,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,NA,39.2,1,0,0,FALSE,FALSE,FALSE,11.01153849001536,TRUE
TRUE,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019,NA,26.3,0,0,0,FALSE,FALSE,FALSE,10.61974072181055,TRUE
TRUE,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,FALSE,FALSE,FALSE,9.033603193476129,TRUE
TRUE,small_business,0.087,94.98,10.126631100000001,14.54,752,2460,3660,7.8,1,0,0,FALSE,FALSE,FALSE,8.205491613120236,TRUE
TRUE,home_improvement,0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,NA,0,FALSE,TRUE,FALSE,NA,FALSE
TRUE,credit_card,0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,FALSE,FALSE,FALSE,9.670356794688852,TRUE
TRUE,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,FALSE,FALSE,FALSE,8.83127373772255,TRUE
TRUE,educational,0.0775,168.6,NA,3,762,6659.958333,1321,16.5,0,0,0,FALSE,FALSE,FALSE,7.186901020411631,TRUE
TRUE,all_other,0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,FALSE,FALSE,FALSE,8.463370384718731,TRUE
TRUE,credit_card,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,FALSE,FALSE,FALSE,10.064330077652958,TRUE
TRUE,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,FALSE,FALSE,FALSE,7.943782692458625,TRUE
TRUE,credit_card,0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,FALSE,FALSE,FALSE,7.486613313139955,TRUE
TRUE,small_business,0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,FALSE,FALSE,FALSE,8.170468578330674,TRUE
TRUE,small_business,0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,FALSE,FALSE,FALSE,7.792761720816526,TRUE
TRUE,educational,0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,FALSE,FALSE,FALSE,7.9603236291488395,TRUE
TRUE,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,FALSE,FALSE,FALSE,8.031385330625534,TRUE
TRUE,small_business,0.1059,398.69,11.00209984,17.12,747,NA,17214,8.1,2,NA,0,FALSE,TRUE,FALSE,9.753536375772624,TRUE
TRUE,credit_card,0.1154,39.6,9.903487553,2.04,662,1139,1153,75.8,2,0,0,FALSE,FALSE,FALSE,7.050989447068045,TRUE
TRUE,credit_card,0.1343,678.08,11.88448902,10.15,682,4209.958333,NA,74.1,0,0,0,TRUE,FALSE,FALSE,10.637656707618994,TRUE
TRUE,credit_card,0.1249,401.37,11.22524339,15,682,4479,NA,93.4,3,0,0,FALSE,FALSE,FALSE,10.669885194835667,TRUE
TRUE,all_other,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,FALSE,FALSE,FALSE,8.12058871174027,TRUE
TRUE,debt_consolidation,0.1186,397.75,11.08214255,7.14,682,8730,11868,71.9,0,NA,0,FALSE,TRUE,FALSE,9.381685238056505,TRUE
TRUE,all_other,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,FALSE,FALSE,FALSE,7.848933726364071,TRUE
TRUE,all_other,0.1028,113.39,9.903487553,1.5,682,1410,1882,32.4,0,0,0,FALSE,FALSE,FALSE,7.5406215286571525,TRUE
TRUE,debt_consolidation,0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,NA,FALSE,FALSE,TRUE,6.970730078143525,TRUE
TRUE,credit_card,0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,NA,0,FALSE,TRUE,FALSE,8.769196271411001,TRUE
TRUE,all_other,0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,TRUE,FALSE,FALSE,8.408716715080153,TRUE
TRUE,all_other,0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,NA,0,FALSE,TRUE,FALSE,9.69959500581403,TRUE
TRUE,debt_consolidation,0.0964,160.51,11.77528973,8.55,712,5940,20969,40.2,0,0,0,FALSE,FALSE,FALSE,9.950848123895966,TRUE
TRUE,debt_consolidation,0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,FALSE,FALSE,FALSE,10.008477999727065,TRUE
TRUE,home_improvement,0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,FALSE,FALSE,FALSE,7.6783263565068856,TRUE
TRUE,credit_card,0.0743,155.38,11.15625052,4.56,812,9809,813,1,0,0,0,FALSE,FALSE,FALSE,6.70196036600254,TRUE
TRUE,home_improvement,0.0807,235.25,11.91839057,2.72,757,5202,23678,24.4,4,0,0,FALSE,FALSE,FALSE,10.072343858376511,TRUE
TRUE,debt_consolidation,0.0996,257.99,10.77895629,15.13,722,2640,11289,47.8,3,0,0,FALSE,FALSE,FALSE,9.331672657143708,TRUE
TRUE,small_business,0.1501,225.37,12.26904744,6.45,677,6240,NA,75.3,0,0,0,TRUE,FALSE,FALSE,10.94043718081213,TRUE
TRUE,home_improvement,0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,TRUE,FALSE,FALSE,5.598421958998375,TRUE
TRUE,home_improvement,0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,TRUE,FALSE,FALSE,8.134174272137903,TRUE
TRUE,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,NA,TRUE,FALSE,TRUE,8.781708985836179,TRUE
TRUE,educational,0.0743,124.31,10.59663473,3.45,772,1739.958333,330,11,0,0,0,FALSE,FALSE,FALSE,5.802118375377063,TRUE
