"","credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid","has.delinq.2yrs","has.pub.rec","log.revol.bal","has.revol.bal"
"1",TRUE,"debt_consolidation",0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,FALSE,FALSE,FALSE,10.2700385671451,TRUE
"2",TRUE,"credit_card",0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,FALSE,FALSE,FALSE,10.422995376685,TRUE
"3",TRUE,"debt_consolidation",0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,FALSE,FALSE,FALSE,8.16394095475501,TRUE
"4",TRUE,"debt_consolidation",0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,FALSE,FALSE,FALSE,10.4243031103315,TRUE
"5",TRUE,"credit_card",0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0,FALSE,TRUE,FALSE,8.46400336290212,TRUE
"6",TRUE,"credit_card",0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,FALSE,FALSE,FALSE,10.8358091014828,TRUE
"7",TRUE,"debt_consolidation",0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,TRUE,FALSE,TRUE,8.25322764558177,TRUE
"8",TRUE,"all_other",0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,TRUE,FALSE,FALSE,10.0949753044463,TRUE
"9",TRUE,"home_improvement",0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0,FALSE,FALSE,FALSE,11.154963979506,TRUE
"10",TRUE,"debt_consolidation",0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0,FALSE,FALSE,FALSE,8.63604232525462,TRUE
"11",TRUE,"debt_consolidation",0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,1,FALSE,FALSE,TRUE,9.53582388165471,TRUE
"12",TRUE,"debt_consolidation",0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0,FALSE,TRUE,FALSE,8.5414954839392,TRUE
"13",TRUE,"debt_consolidation",0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,FALSE,FALSE,FALSE,8.71094912583585,TRUE
"14",TRUE,"small_business",0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,1,0,FALSE,TRUE,FALSE,8.01367414283268,TRUE
"15",TRUE,"debt_consolidation",0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,FALSE,FALSE,FALSE,8.74560285240295,TRUE
"16",TRUE,"major_purchase",0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,FALSE,FALSE,FALSE,8.59322787769223,TRUE
"17",TRUE,"all_other",0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,FALSE,FALSE,FALSE,7.70165236264223,TRUE
"18",TRUE,"credit_card",0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,FALSE,FALSE,FALSE,8.93419153533807,TRUE
"19",TRUE,"debt_consolidation",0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,FALSE,FALSE,FALSE,9.02545553277906,TRUE
"20",TRUE,"major_purchase",0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,FALSE,FALSE,FALSE,6.383506634884,TRUE
"21",TRUE,"all_other",0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,FALSE,FALSE,FALSE,10.3021965561473,TRUE
"22",TRUE,"all_other",0.0863,474.42,10.81977828,2.59,797,11951,5656,27.6,0,0,0,FALSE,FALSE,FALSE,8.64064899534316,TRUE
